id,rooms,area,rent,norm_rent,latitude,longitude
5015492,4,213,34613,162.5,55.682729,12.592367
5243766,2,67,12500,186.57,55.646033,12.547263
5239337,4,95,17100,180.0,55.634942,12.579119
5242837,3,90,13300,147.78,55.682748,12.455784
4999339,2,104,15000,144.23,55.679533,12.6031
5259409,3,89,14950,167.98,55.632257,12.577481
5126171,1,32,6350,198.44,55.72722,12.47929
5083778,4,194,26152,134.8,55.680223,12.578604
5240222,3,96,14100,146.88,55.638175,12.581597
5072234,4,106,14861,140.2,55.61781,12.572924
4977133,2,64,11250,175.78,55.617418,12.566349
5239354,3,65,13300,204.62,55.637841,12.58114
5079393,5,166,29050,175.0,55.684456,12.551164
5258837,4,129,16100,124.81,55.677018,12.435548
5121277,4,97,15572,160.54,55.660841,12.50309
5175121,4,104,14200,136.54,55.671176,12.472884
5189006,2,168,24000,142.86,55.665249,12.599428
5175003,3,119,18700,157.14,55.683877,12.504041
5239396,3,91,14800,162.64,55.637843,12.580475
5239402,3,70,13700,195.71,55.637997,12.580752
5239419,2,64,12500,195.31,55.638117,12.580798
5194824,2,59,11250,190.68,55.636709,12.582897
5239391,3,91,14300,157.14,55.637843,12.580475
5088229,2,52,11400,219.23,55.637841,12.58114
5239380,3,78,13800,176.92,55.637749,12.581051
5239436,2,52,12000,230.77,55.637841,12.58114
5239411,3,74,13800,186.49,55.638117,12.580798
5058048,3,107,20800,194.39,55.671843,12.572796
5092265,4,93,13700,147.31,55.711542,12.480989
5239429,3,76,14700,193.42,55.638325,12.58099
